id,topic,topic_label
679,5,mexiko_trump_us_usa
680,-1,mehr_menschen_deutschland_wurde
681,2,eu_brexit_europäischen_europa
682,3,prozent_000_deutschland_mehr
683,-1,mehr_menschen_deutschland_wurde
684,14,eu_kommission_staaten_seehofer
685,-1,mehr_menschen_deutschland_wurde
686,4,türkei_eu_erdogan_türkische
687,-1,mehr_menschen_deutschland_wurde
688,0,grenze_belarus_polen_eu
689,15,taliban_afghanistan_kabul_us
690,23,deutschland_anträge_000_prozent
691,-1,mehr_menschen_deutschland_wurde
692,18,türkei_griechenland_griechischen_migranten
693,1,libyen_sea_bord_schiff
694,-1,mehr_menschen_deutschland_wurde
695,-1,mehr_menschen_deutschland_wurde
696,-1,mehr_menschen_deutschland_wurde
697,23,deutschland_anträge_000_prozent
699,5,mexiko_trump_us_usa
700,1,libyen_sea_bord_schiff
702,12,deutschland_menschen_deutschen_mehr
703,15,taliban_afghanistan_kabul_us
704,4,türkei_eu_erdogan_türkische
705,-1,mehr_menschen_deutschland_wurde
706,-1,mehr_menschen_deutschland_wurde
707,1,libyen_sea_bord_schiff
708,-1,mehr_menschen_deutschland_wurde
709,4,türkei_eu_erdogan_türkische
710,23,deutschland_anträge_000_prozent
711,5,mexiko_trump_us_usa
712,1,libyen_sea_bord_schiff
713,23,deutschland_anträge_000_prozent
714,-1,mehr_menschen_deutschland_wurde
715,15,taliban_afghanistan_kabul_us
716,-1,mehr_menschen_deutschland_wurde
717,-1,mehr_menschen_deutschland_wurde
718,-1,mehr_menschen_deutschland_wurde
719,-1,mehr_menschen_deutschland_wurde
720,-1,mehr_menschen_deutschland_wurde
721,-1,mehr_menschen_deutschland_wurde
722,17,merkel_kanzlerin_angela_deutschland
723,3,prozent_000_deutschland_mehr
724,-1,mehr_menschen_deutschland_wurde
725,-1,mehr_menschen_deutschland_wurde
726,-1,mehr_menschen_deutschland_wurde
727,4,türkei_eu_erdogan_türkische
728,12,deutschland_menschen_deutschen_mehr
729,-1,mehr_menschen_deutschland_wurde
730,0,grenze_belarus_polen_eu
731,-1,mehr_menschen_deutschland_wurde
732,1,libyen_sea_bord_schiff
733,-1,mehr_menschen_deutschland_wurde
734,-1,mehr_menschen_deutschland_wurde
735,14,eu_kommission_staaten_seehofer
736,-1,mehr_menschen_deutschland_wurde
737,-1,mehr_menschen_deutschland_wurde
738,3,prozent_000_deutschland_mehr
739,1,libyen_sea_bord_schiff
740,4,türkei_eu_erdogan_türkische
741,-1,mehr_menschen_deutschland_wurde
742,-1,mehr_menschen_deutschland_wurde
743,-1,mehr_menschen_deutschland_wurde
744,0,grenze_belarus_polen_eu
745,10,russland_putin_ukraine_russischen
746,6,corona_pandemie_menschen_covid
747,1,libyen_sea_bord_schiff
748,-1,mehr_menschen_deutschland_wurde
749,1,libyen_sea_bord_schiff
750,22,afghanistan_taliban_afghanen_kabul
751,0,grenze_belarus_polen_eu
752,-1,mehr_menschen_deutschland_wurde
753,-1,mehr_menschen_deutschland_wurde
754,10,russland_putin_ukraine_russischen
755,18,türkei_griechenland_griechischen_migranten
756,-1,mehr_menschen_deutschland_wurde
757,5,mexiko_trump_us_usa
758,15,taliban_afghanistan_kabul_us
759,5,mexiko_trump_us_usa
760,10,russland_putin_ukraine_russischen
761,-1,mehr_menschen_deutschland_wurde
763,15,taliban_afghanistan_kabul_us
764,-1,mehr_menschen_deutschland_wurde
765,-1,mehr_menschen_deutschland_wurde
766,-1,mehr_menschen_deutschland_wurde
767,0,grenze_belarus_polen_eu
768,-1,mehr_menschen_deutschland_wurde
769,4,türkei_eu_erdogan_türkische
770,-1,mehr_menschen_deutschland_wurde
771,-1,mehr_menschen_deutschland_wurde
772,0,grenze_belarus_polen_eu
773,6,corona_pandemie_menschen_covid
774,0,grenze_belarus_polen_eu
775,5,mexiko_trump_us_usa
776,0,grenze_belarus_polen_eu
777,-1,mehr_menschen_deutschland_wurde
778,-1,mehr_menschen_deutschland_wurde
779,15,taliban_afghanistan_kabul_us
780,3,prozent_000_deutschland_mehr
781,4,türkei_eu_erdogan_türkische
782,2,eu_brexit_europäischen_europa
783,-1,mehr_menschen_deutschland_wurde
784,1,libyen_sea_bord_schiff
785,-1,mehr_menschen_deutschland_wurde
786,-1,mehr_menschen_deutschland_wurde
787,11,trump_biden_demokraten_us
